id,sku,http_status,ok,payload_keys,price_fields_written,error
3944,3127-5,200,True,description|meta_description|meta_title|short_description|specifications,none,
3942,4100-8,200,True,description|meta_description|meta_title|short_description|specifications,none,
3940,A25-3560,200,True,description|meta_description|meta_title|short_description|specifications,none,
3938,3540-50,200,True,description|meta_description|meta_title|short_description|specifications,none,
3937,3358-25,200,True,description|meta_description|meta_title|short_description|specifications,none,
3936,3332-25,200,True,description|meta_description|meta_title|short_description|specifications,none,
3935,3287-25B,200,True,description|meta_description|meta_title|short_description|specifications,none,
3933,3260-25SA,200,True,description|meta_description|meta_title|short_description|specifications,none,
3931,3101-25,200,True,description|meta_description|meta_title|short_description|specifications,none,
3928,2878-71B,200,True,description|meta_description|meta_title|short_description|specifications,none,
3927,2875-30,200,True,description|meta_description|meta_title|short_description|specifications,none,
3925,2827-60,200,True,description|meta_description|meta_title|short_description|specifications,none,
3924,2825-35,200,True,description|meta_description|meta_title|short_description|specifications,none,
3923,2825-60,200,True,description|meta_description|meta_title|short_description|specifications,none,
3922,2365-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
3920,2199-1,200,True,description|meta_description|meta_title|short_description|specifications,none,
3919,2198-2,200,True,description|meta_description|meta_title|short_description|specifications,none,
3918,A25-2164,200,True,description|meta_description|meta_title|short_description|specifications,none,
3917,2163-25,200,True,description|meta_description|meta_title|short_description|specifications,none,
3915,2153-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
3914,2122-35,200,True,description|meta_description|meta_title|short_description|specifications,none,
3913,2122-60,200,True,description|meta_description|meta_title|short_description|specifications,none,
3911,2115-25,200,True,description|meta_description|meta_title|short_description|specifications,none,
3909,2115-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
3907,1205-300S,200,True,description|meta_description|meta_title|short_description|specifications,none,
3905,1205-200S,200,True,description|meta_description|meta_title|short_description|specifications,none,
3904,1205-150S,200,True,description|meta_description|meta_title|short_description|specifications,none,
3902,1180-6,200,True,description|meta_description|meta_title|short_description|specifications,none,
3901,1141-1000,200,True,description|meta_description|meta_title|short_description|specifications,none,
3900,1110-300A,200,True,description|meta_description|meta_title|short_description|specifications,none,
3899,1110-150A,200,True,description|meta_description|meta_title|short_description|specifications,none,
3898,1106-2002,200,True,description|meta_description|meta_title|short_description|specifications,none,
3897,1106-1503,200,True,description|meta_description|meta_title|short_description|specifications,none,
3896,1106-1005,200,True,description|meta_description|meta_title|short_description|specifications,none,
3895,0312-TH50,200,True,description|meta_description|meta_title|short_description|specifications,none,
3894,C520-0222,200,True,description|meta_description|meta_title|short_description|specifications,none,
3893,A900-0215,200,True,description|meta_description|meta_title|short_description|specifications,none,
3892,4166-3D,200,True,description|meta_description|meta_title|short_description|specifications,none,
3891,4166-10,200,True,description|meta_description|meta_title|short_description|specifications,none,
3889,4130-30,200,True,description|meta_description|meta_title|short_description|specifications,none,
3887,4130-27,200,True,description|meta_description|meta_title|short_description|specifications,none,
3886,4130-24,200,True,description|meta_description|meta_title|short_description|specifications,none,
3885,4130-22,200,True,description|meta_description|meta_title|short_description|specifications,none,
3884,4130-20,200,True,description|meta_description|meta_title|short_description|specifications,none,
3883,4130-18,200,True,description|meta_description|meta_title|short_description|specifications,none,
3882,4130-16,200,True,description|meta_description|meta_title|short_description|specifications,none,
