sku,product_name,image_url,detail_url,confidence
1103-150,کولیس دیجیتال 15سانت — 15 سانت,https://www.tosag.ch/media/image/product/51984/lg/digital-messschieber-mit-absolut-system.jpg,https://www.tosag.ch/Digital-caliper-with-absolute-system,very_high
1103-200,کولیس دیجیتال 20سانت — 20 سانت,https://www.tosag.ch/media/image/product/51984/lg/digital-messschieber-mit-absolut-system.jpg,https://www.tosag.ch/Digital-caliper-with-absolute-system,very_high
1103-300,کولیس دیجیتال 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/51984/lg/digital-messschieber-mit-absolut-system.jpg,https://www.tosag.ch/Digital-caliper-with-absolute-system,very_high
1106-301,کولیس دیجیتال 30سانت فک بلند 10سانت — 30 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-302,کولیس دیجیتال 30سانت فک بلند 15سانت — 30 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-501,کولیس دیجیتال 50سانت — 50 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-502,کولیس دیجیتال 50سانت فک بلند 15سانت — 50 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-503,کولیس دیجیتال 50سانت فک بلند 20سانت — 50 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-505,کولیس دیجیتال 50سانت فک بلند 30سانت — 50 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-601,کولیس دیجیتال 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-602,کولیس دیجیتال 60سانت فک بلند 15سانت — 60 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-603,کولیس دیجیتال 60سانت فک بلند 20سانت — 60 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1106-802,کولیس دیجیتال 80سانت فک بلند 15سانت — 80 سانت,https://www.tosag.ch/media/image/product/52081/lg/digital-messschieber-mit-langen-messschenkeln.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs,very_high
1108-150,کولیس دیجیتال 15سانت — 15 سانت,https://www.tosag.ch/media/image/product/51955/lg/digital-messschieber-standard.jpg,https://www.tosag.ch/Digital-caliper-standard,very_high
1108-200,کولیس دیجیتال 20سانت — 20 سانت,https://www.tosag.ch/media/image/product/51955/lg/digital-messschieber-standard.jpg,https://www.tosag.ch/Digital-caliper-standard,very_high
1108-300,کولیس دیجیتال 30سانت — 30 سانت,https://www.tosag.ch/media/image/product/51955/lg/digital-messschieber-standard.jpg,https://www.tosag.ch/Digital-caliper-standard,very_high
1120-500,کولیس داخل دیجیتال 50سانت 40 - 500 — 50 سانت,https://www.tosag.ch/media/image/product/51902/lg/digital-innennuten-messschieber.jpg,https://www.tosag.ch/Digital-inside-grooves-caliper,very_high
1122-300,کولیس داخل شیار دیجیتال 30سانت 4 - 300 — 30 سانت,https://www.tosag.ch/media/image/product/51845/lg/digital-haken-messschieber.jpg,https://www.tosag.ch/Digital-hook-caliper,very_high
1135-601,کولیس دیجیتال دو فک 60سانت — 60 سانت,https://www.tosag.ch/media/image/product/52082/lg/digital-messschieber-mit-langen-messschenkeln_1.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs_1,very_high
1136-501,کولیس دیجیتال دو فک 50سانت — 50 سانت,https://www.tosag.ch/media/image/product/52083/lg/digital-messschieber-mit-langen-messschenkeln_2.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs_2,very_high
1136-502,کولیس دیجیتال دو فک 50سانت فک 15سانت — 50 سانت,https://www.tosag.ch/media/image/product/52083/lg/digital-messschieber-mit-langen-messschenkeln_2.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs_2,very_high
1136-503,کولیس دیجیتال دو فک 50سانت فک 20سانت — 50 سانت,https://www.tosag.ch/media/image/product/52083/lg/digital-messschieber-mit-langen-messschenkeln_2.jpg,https://www.tosag.ch/Digital-caliper-with-long-measuring-legs_2,very_high
