brand,brand_id,sku,name,description,category_id,category_name,category_confidence,price_raw,price_currency,base_price_toman,price_is_inquiry,accuracy,size_range,size_label_fa,specifications_json,section_title,source_file,source_row_hint,parse_flags
Dasqua | داسکوا,4,6510-0013,گیج رینیک برو — 0-130mm,گیج رینیک برو,67,انواع گیج,high,"61,750,000",rial,6175000,false,0/35,0-130mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/35""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-130mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3323,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0014,گیج رینیک برو — 0-140mm,گیج رینیک برو,67,انواع گیج,high,"55,700,000",rial,5570000,false,0/4,0-140mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/4""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-140mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3327,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0015,گیج رینیک برو — 0-150mm,گیج رینیک برو,67,انواع گیج,high,"53,650,000",rial,5365000,false,0/45,0-150mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/45""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-150mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3331,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0016,گیج رینیک برو — 0-160mm,گیج رینیک برو,67,انواع گیج,high,"49,550,000",rial,4955000,false,0/6,0-160mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/6""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-160mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3339,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0017,گیج رینیک برو — 0-170mm,گیج رینیک برو,67,انواع گیج,high,"54,800,000",rial,5480000,false,,0-170mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-170mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3379,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0018,گیج رینیک برو — 0-180mm,گیج رینیک برو,67,انواع گیج,high,"54,800,000",rial,5480000,false,,0-180mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-180mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3383,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0019,گیج رینیک برو — 0-190mm,گیج رینیک برو,67,انواع گیج,high,"61,750,000",rial,6175000,false,,0-190mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-190mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3387,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0020,گیج رینیک برو — 0-200mm,گیج رینیک برو,67,انواع گیج,high,"61,750,000",rial,6175000,false,,0-200mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-200mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3391,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0021,گیج رینیک برو — 0-210mm,گیج رینیک برو,67,انواع گیج,high,"82,350,000",rial,8235000,false,,0-210mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-210mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3395,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0022,گیج رینیک برو — 0-220mm,گیج رینیک برو,67,انواع گیج,high,"84,500,000",rial,8450000,false,,0-220mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-220mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3399,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0023,گیج رینیک برو — 0-230mm,گیج رینیک برو,67,انواع گیج,high,"111,150,000",rial,11115000,false,,0-230mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-230mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3409,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0024,گیج رینیک برو — 0-240mm,گیج رینیک برو,67,انواع گیج,high,"117,350,000",rial,11735000,false,,0-240mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-240mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3413,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6510-0025,گیج رینیک برو — 0-25mm,گیج رینیک برو,67,انواع گیج,high,"178,950,000",rial,17895000,false,,0-25mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-25mm""}], ""dimensions"": [], ""features"": {}}",گیج رینیک برو,لیست قیمت داسکوا 14050212.pdf,line:3417,duplicate_sku_merged|duplicate_sku_in_pdf
Dasqua | داسکوا,4,6703-1005,میکروسکوپ اندازه گی 1 — 0-1005mm,میکروسکوپ اندازه گی 1,88,میکروسکوپ,high,"251,250,000",rial,25125000,false,,0-1005mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-1005mm""}], ""dimensions"": [], ""features"": {}}",میکروسکوپ اندازه گی ‪1,لیست قیمت داسکوا 14050212.pdf,line:2960,
Dasqua | داسکوا,4,6710-0005,زبری سنج دیجیتال پرتابل — 0-50mm,زبری سنج دیجیتال پرتابل,65,شابلون,medium,"2,155,850,000",rial,215585000,false,,0-50mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-50mm""}], ""dimensions"": [], ""features"": {""دیجیتال"": true}}",زبری سنج دیجیتال پرتابل,لیست قیمت داسکوا 14050212.pdf,line:2892,
Dasqua | داسکوا,4,7000-0005,پایه ساعت هیدرولیک با بازوی سه — 0-50mm,پایه ساعت هیدرولیک با بازوی سه,59,ساعت اندیکاتور,medium,,rial,,false,,0-50mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-50mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت هیدرولیک با بازوی سه,لیست قیمت داسکوا 14050212.pdf,line:3130,missing_price
Dasqua | داسکوا,4,7000-0010,پایه ساعت هیدرولیک با بازوی سه — 0-100mm,پایه ساعت هیدرولیک با بازوی سه,59,ساعت اندیکاتور,medium,"29,000,000",rial,2900000,false,,0-100mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-100mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت هیدرولیک با بازوی سه,لیست قیمت داسکوا 14050212.pdf,line:3131,
Dasqua | داسکوا,4,7000-0015,پایه ساعت هیدرولیک با بازوی سه — 0-150mm,پایه ساعت هیدرولیک با بازوی سه,59,ساعت اندیکاتور,medium,,rial,,false,,0-150mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-150mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت هیدرولیک با بازوی سه,لیست قیمت داسکوا 14050212.pdf,line:3132,missing_price
Dasqua | داسکوا,4,7000-0020,پایه ساعت هیدرولیک با بازوی سه — 0-200mm,پایه ساعت هیدرولیک با بازوی سه,59,ساعت اندیکاتور,medium,,rial,,false,0/8,0-200mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/8""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-200mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت هیدرولیک با بازوی سه,لیست قیمت داسکوا 14050212.pdf,line:3133,missing_price
Dasqua | داسکوا,4,7111-1000,پایه میکرومی 1 — 0-1000mm,پایه میکرومی 1,58,انواع میکرومتر,high,"76,250,000",rial,7625000,false,0/8,0-1000mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/8""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-1000mm""}], ""dimensions"": [], ""features"": {}}",پایه میکرومی ‪1,لیست قیمت داسکوا 14050212.pdf,line:3141,
Dasqua | داسکوا,4,7111-1105,میکرومی ی پایه — 0-1105mm,میکرومی ی پایه,58,انواع میکرومتر,high,"22,850,000",rial,2285000,false,0/4,0-1105mm,,"{""technical_specs"": [{""key"": ""دقت"", ""value"": ""0/4""}, {""key"": ""بازه اندازه‌گیری"", ""value"": ""0-1105mm""}], ""dimensions"": [], ""features"": {}}",میکرومی ی پایه,لیست قیمت داسکوا 14050212.pdf,line:3139,
Dasqua | داسکوا,4,7121-0025,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-25mm,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),59,ساعت اندیکاتور,medium,"131,800,000",rial,13180000,false,,0-25mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-25mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),لیست قیمت داسکوا 14050212.pdf,line:3106,
Dasqua | داسکوا,4,7121-0030,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-30mm,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),59,ساعت اندیکاتور,medium,"158,400,000",rial,15840000,false,,0-30mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-30mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),لیست قیمت داسکوا 14050212.pdf,line:3107,
Dasqua | داسکوا,4,7121-0035,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-35mm,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),59,ساعت اندیکاتور,medium,"177,000,000",rial,17700000,false,,0-35mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-35mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),لیست قیمت داسکوا 14050212.pdf,line:3108,
Dasqua | داسکوا,4,7121-0045,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک) — 0-45mm,پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),59,ساعت اندیکاتور,medium,"199,550,000",rial,19955000,false,,0-45mm,,"{""technical_specs"": [{""key"": ""بازه اندازه‌گیری"", ""value"": ""0-45mm""}], ""dimensions"": [], ""features"": {}}",پایه ساعت مفصیل قوی ( جایگزین پایه هیدرولیک),لیست قیمت داسکوا 14050212.pdf,line:3109,
