id,sku,name,is_active,short_description,description,meta_title,meta_description,has_short,has_long_stub,has_long_ok,has_meta_title,has_meta_description,tech_keys,tech_count
1699,8101-0005,سختی‌سنج شور داسکوا 0-50mm کد 8101-0005,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1700,8101-0010,سختی‌سنج شور داسکوا 0-100mm کد 8101-0010,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1701,8203-0010,سختی‌سنج شور داسکوا 0-100mm کد 8203-0010,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,بازه اندازه‌گیری,1
1702,8300-0015,مگنت با رنیوی مغناطیش ی — 0-150mm,True,,مگنت با رنیوی مغناطیش ی,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1703,8300-0020,ی با رنیوی مغناطیش — 0-200mm,True,,ی با رنیوی مغناطیش,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1704,8300-0025,صنعت دیجیتال تراز — 0-25mm,True,,صنعت دیجیتال تراز,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1705,8300-0095,ست 4عددي زاويه كوليس ديجيتال -پالستيیکي ،عمق سنج ديجيتال،تراز ديجيتال — 0-95mm,True,,ست 4عددي زاويه كوليس ديجيتال -پالستيیکي ،عمق سنج ديجيتال،تراز ديجيتال,,,False,False,True,False,False,بازه اندازه‌گیری,1
1706,8300-1000,صنعت دیجیتال بسیار دقیق تراز — 0-1000mm,True,,صنعت دیجیتال بسیار دقیق تراز,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1707,8301-0003,صنعت چهارگوش تراز 6 — 0-30mm,True,,صنعت چهارگوش تراز 6,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1708,8301-0005,صنعت تخت تراز 3 — 0-50mm,True,,صنعت تخت تراز 3,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1709,8301-0006,تراز صنعت 7 — 0-60mm,True,,تراز صنعت 7,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1710,8301-0009,صنعت چهارگوش تراز 8 — 0-90mm,True,,صنعت چهارگوش تراز 8,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1711,8301-0010,صنعت تخت تراز 4 — 0-100mm,True,,صنعت تخت تراز 4,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1712,8301-0013,تراز صنعت 9 — 0-130mm,True,,تراز صنعت 9,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1713,8301-0015,صنعت تخت تراز 5 — 0-150mm,True,,صنعت تخت تراز 5,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1714,8301-1005,صنعت تخت تراز — 0-1005mm,True,,صنعت تخت تراز,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1715,8301-1009,ی تراز صنعت 4 — 0-1009mm,True,,ی تراز صنعت 4,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1716,8301-1010,صنعت تخت تراز 1 — 0-1010mm,True,,صنعت تخت تراز 1,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1717,8301-1013,صنعت چهارگوش تراز 5 — 0-1013mm,True,,صنعت چهارگوش تراز 5,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1718,8301-1020,صنعت تخت تراز 2 — 0-1020mm,True,,صنعت تخت تراز 2,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1719,8301-2645,تراز تخت دیجیتال مگنت دار با — 0,True,,تراز تخت دیجیتال مگنت دار با,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1720,8301-2655,تراز تخت دیجیتال مگنت دار با — 0,True,,تراز تخت دیجیتال مگنت دار با,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1721,8400-0000,تراز دیجیتال مگنت دار ابسلوت ضد,True,,تراز دیجیتال مگنت دار ابسلوت ضد,,,False,True,False,False,False,,0
1722,8400-0005,تراز دیجیتال مگنت دار ابسلوت ضد — 0-50mm,True,,تراز دیجیتال مگنت دار ابسلوت ضد,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1723,8500-1063,ضخامت سنج الکی — 0-1063mm,True,,ضخامت سنج الکی,,,False,True,False,False,False,بازه اندازه‌گیری,1
1724,8500-1075,ضخامت سنج الکی — 0-1075mm,True,,ضخامت سنج الکی,,,False,True,False,False,False,بازه اندازه‌گیری,1
1725,8500-3020,صفحه گرانیتی داسکوا 300×200mm کد 8500-3020,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1726,8500-3030,صفحه گرانیتی داسکوا 300×300mm کد 8500-3030,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1727,8500-4025,صفحه گرانیتی داسکوا 400×250mm کد 8500-4025,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1728,8500-4040,صفحه گرانیتی داسکوا 400×400mm کد 8500-4040,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1729,8500-4545,صفحه گرانیتی داسکوا 450×450mm کد 8500-4545,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1730,8500-5032,صفحه گرانیتی داسکوا 500×320mm کد 8500-5032,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1731,8500-6340,صفحه گرانیتی داسکوا 630×400mm کد 8500-6340,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1732,8500-6363,صفحه گرانیتی داسکوا 630×630mm کد 8500-6363,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1733,8500-8050,صفحه گرانیتی داسکوا 800×500mm کد 8500-8050,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1734,8511-0005,شابلون شعاع سنج — 0-50mm,True,,شابلون شعاع سنج,,,False,True,False,False,False,بازه اندازه‌گیری,1
1735,8511-0010,زاویه نوک 118درجه ،تا Φ50مییل ی شابلون مته 118درجه تا سایز 50 — 0-100mm,True,,زاویه نوک 118درجه ،تا Φ50مییل ی شابلون مته 118درجه تا سایز 50,,,False,False,True,False,False,بازه اندازه‌گیری,1
1736,8511-0020,ساعت تلسکونی گیج داخل 1 — 0-200mm,True,,ساعت تلسکونی گیج داخل 1,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1737,8511-0030,ساعت تلسکونی گیج داخل 1 — 0-30mm,True,,ساعت تلسکونی گیج داخل 1,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1738,8511-2005,گیج تست رزوه,True,,گیج تست رزوه,,,False,True,False,False,False,,0
1739,8511-2010,گیج تست رزوه,True,,گیج تست رزوه,,,False,True,False,False,False,دقت,1
1740,8521-0005,شابلون گپ سنج — 0-50mm,True,,شابلون گپ سنج,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1741,8521-0010,شابلون گپ سنج — 0-100mm,True,,شابلون گپ سنج,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1742,8521-0015,شابلون گپ سنج — 0-45mm,True,,شابلون گپ سنج,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1743,8521-0020,شابلون گپ سنج — 0-200mm,True,,شابلون گپ سنج,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1744,8530-1005,ساعت تلسکونی گیج داخل 1 — 0-1,True,,ساعت تلسکونی گیج داخل 1,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1745,8531-0005,ساعت تلسکونی گیج داخل 1 — 0-50mm,True,,ساعت تلسکونی گیج داخل 1,,,False,True,False,False,False,بازه اندازه‌گیری|دقت,2
1746,8561-2005,سختی‌سنج شور داسکوا کد 8561-2005,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1747,8561-2010,سختی‌سنج شور داسکوا کد 8561-2010,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1748,8561-2015,سختی‌سنج شور داسکوا کد 8561-2015,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1749,8561-2020,سختی‌سنج شور داسکوا کد 8561-2020,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1750,8561-2025,سختی‌سنج شور داسکوا کد 8561-2025,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1751,8561-2030,سختی‌سنج شور داسکوا کد 8561-2030,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1752,8561-2035,سختی‌سنج شور داسکوا کد 8561-2035,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1753,8802-5105,سختی‌سنج شور داسکوا کد 8802-5105,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1754,8802-5110,سختی‌سنج شور داسکوا کد 8802-5110,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1755,8802-5115,سختی‌سنج شور داسکوا کد 8802-5115,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1756,8802-5120,سختی‌سنج شور داسکوا کد 8802-5120,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1757,8802-5125,سختی‌سنج شور داسکوا کد 8802-5125,True,,"1,336,200,000 ی ي سنج شور A,B,E,O,OO",,,False,True,False,False,False,,0
1758,9110-0005,خط کش زاویه سنج دیجیتال دو خط — 0-50mm,True,,خط کش زاویه سنج دیجیتال دو خط,,,False,True,False,False,False,بازه اندازه‌گیری,1
1759,9110-0010,خط کش زاویه سنج دیجیتال دو خط — 0-100mm,True,,خط کش زاویه سنج دیجیتال دو خط,,,False,True,False,False,False,بازه اندازه‌گیری,1
1760,9110-0015,خط کش زاویه سنج دیجیتال دو خط — 0-150mm,True,,خط کش زاویه سنج دیجیتال دو خط,,,False,True,False,False,False,بازه اندازه‌گیری,1
1761,9110-0020,خط کش زاویه سنج دیجیتال دو خط — 0-200mm,True,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-200mm — کد 9110-0020,خط کش زاویه سنج دیجیتال دو خط,خط کش زاویه سنج دیجیتال دو خط — 0-200mm,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-200mm — کد 9110-0020,True,True,False,True,True,بازه اندازه‌گیری,1
1762,9110-0025,خط کش زاویه سنج دیجیتال دو خط — 0-25mm,True,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-25mm — کد 9110-0025,خط کش زاویه سنج دیجیتال دو خط,خط کش زاویه سنج دیجیتال دو خط — 0-25mm,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-25mm — کد 9110-0025,True,True,False,True,True,بازه اندازه‌گیری,1
1763,9110-0030,خط کش زاویه سنج دیجیتال دو خط — 0-30mm,True,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-30mm — کد 9110-0030,خط کش زاویه سنج دیجیتال دو خط,خط کش زاویه سنج دیجیتال دو خط — 0-30mm,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-30mm — کد 9110-0030,True,True,False,True,True,بازه اندازه‌گیری,1
1764,9110-0035,خط کش زاویه سنج دیجیتال دو خط — 0-35mm,True,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-35mm — کد 9110-0035,خط کش زاویه سنج دیجیتال دو خط,خط کش زاویه سنج دیجیتال دو خط — 0-35mm,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-35mm — کد 9110-0035,True,True,False,True,True,بازه اندازه‌گیری,1
1765,9111-1110,خط کش زاویه سنج دیجیتال دو خط — 0-1110mm,True,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-1110mm — کد 9111-1110,خط کش زاویه سنج دیجیتال دو خط,خط کش زاویه سنج دیجیتال دو خط — 0-1110mm,خط کش زاویه سنج دیجیتال دو خط برند داسکوا — بازه 0-1110mm — کد 9111-1110,True,True,False,True,True,بازه اندازه‌گیری,1
1766,9211-3005,گیج ضخامت صفحه‌ای داسکوا کد 9211-3005,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1767,9211-3010,گیج ضخامت صفحه‌ای داسکوا کد 9211-3010,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1768,9211-3015,گیج ضخامت صفحه‌ای داسکوا کد 9211-3015,True,,ضخامت سنج الکی,,,False,True,False,False,False,,0
1769,9222-3110,خط کش زاویه سنج دیجیتال دو خط,True,,خط کش زاویه سنج دیجیتال دو خط,,,False,True,False,False,False,,0
1770,9411-1205,گیج راپورتر زاویه 10پارچه — 0-1205mm,True,راپورتر(گیج بلوک-گیج بلاک) برند داسکوا — بازه 0-1205mm — کد 9411-1205,گیج راپورتر زاویه 10پارچه,گیج راپورتر زاویه 10پارچه — 0-1205mm,راپورتر(گیج بلوک-گیج بلاک) برند داسکوا — بازه 0-1205mm — کد 9411-1205,True,True,False,True,True,بازه اندازه‌گیری,1
