product_id,brand,sku,current_base_price,proposed_base_price,price_delta,price_source_id,price_source_url,price_source_date,price_source_value,price_rule,unit,identity_match,matched_via,snapshot_sha256
1045,DASQUA,1012-0030,20565000.00,24890000,4325000.00,shopmill:42206,https://shopmilltools.com/product/sm-42206/dasqua-4-pcs-digital-combination-square-set-model-1012-0030/,2026-09-09T12:24:29Z,24890000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1047,DASQUA,1012-3010,9060000.00,10970000,1910000.00,shopmill:42212,https://shopmilltools.com/product/sm-42212/dasqua-centering-square-gauge-model-1012-3010/,2026-09-09T12:24:29Z,10970000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1048,DASQUA,1012-3015,11330000.00,13715000,2385000.00,shopmill:42220,https://shopmilltools.com/product/sm-42220/dasqua-centering-square-gauge-model-1012-3015/,2026-09-09T12:24:29Z,13715000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1049,DASQUA,1012-3020,16670000.00,20175000,3505000.00,shopmill:42227,https://shopmilltools.com/product/sm-42227/dasqua-centering-square-gauge-model-1012-3020/,2026-09-09T12:24:29Z,20175000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1051,DASQUA,1022-1010,8875000.00,10740000,1865000.00,shopmill:35202,https://shopmilltools.com/product/sm-35202/dasqua-industrial-digital-protractor-model-1022-1010/,2026-09-09T12:24:29Z,10740000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1052,DASQUA,1022-1015,10090000.00,12210000,2120000.00,shopmill:42233,https://shopmilltools.com/product/sm-42233/dasqua-industrial-digital-protractor-model-1022-1015/,2026-09-09T12:24:29Z,12210000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1053,DASQUA,1022-4200,3625000.00,4390000,765000.00,shopmill:43262,https://shopmilltools.com/product/sm-43262/dasqua-stainless-digital-protractor-model-1022-4200/,2026-09-09T12:24:29Z,4390000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1055,DASQUA,1030-2010,3510000.00,4255000,745000.00,shopmill:46277,https://shopmilltools.com/product/sm-46277/dasqua-digital-pocket-scale-model-1030-2010/,2026-09-09T12:24:29Z,4255000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1057,DASQUA,1030-2056,9245000.00,11190000,1945000.00,shopmill:46696,https://shopmilltools.com/product/sm-46696/dasqua-contact-digital-tachometer-model-1030-2056/,2026-09-09T12:24:29Z,11190000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1058,DASQUA,1030-2061,15230000.00,18429000,3199000.00,shopmill:35348,https://shopmilltools.com/product/sm-35348/dasqua-digital-sound-level-meter-model-1030-2061/,2026-09-09T12:24:29Z,18429000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1060,DASQUA,1031-2005,12560000.00,15198000,2638000.00,shopmill:34181,https://shopmilltools.com/product/sm-34181/dasqua-universal-protractor-model-1031-2005/,2026-09-09T12:24:29Z,15198000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1061,DASQUA,1031-2010,19750000.00,23898000,4148000.00,shopmill:34183,https://shopmilltools.com/product/sm-34183/dasqua-universal-dial-protractor-model-1031-2010/,2026-09-09T12:24:29Z,23898000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1062,DASQUA,1041-0005,2020000.00,2445000,425000.00,shopmill:34282,https://shopmilltools.com/product/sm-34282/dasqua-acme-screw-thread-gauge-model-1041-0005/,2026-09-09T12:24:29Z,2445000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1065,DASQUA,1041-2215,660000.00,805000,145000.00,shopmill:45285,https://shopmilltools.com/product/sm-45285/dasqua-angle-thread-cutting-gauge-model-1041-2215/,2026-09-09T12:24:29Z,805000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
1066,DASQUA,1051-0005,7625000.00,9230000,1605000.00,shopmill:45192,https://shopmilltools.com/product/sm-45192/dasqua-taper-bore-gauge-model-1051-0005/,2026-09-09T12:24:29Z,9230000,KARZAR_PRICE=CURRENT_SHOPMILL_CUSTOMER_PRICE,IRT_toman_major_unit0,EXACT_MATCH,EXACT_SKU,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f
