source_pages,extracted_candidate_row,raw_identity,normalized_identity,raw_price,price_unit,proposed_toman_price,confidence,rejected_reason,duplicate_status,manual_review_required,line
11,"TG 2 > 49 274,712,000",TG 2 > 49,,"274,712,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,217
11,"TG 2 > 50 277,564,000",TG 2 > 50,,"277,564,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,218
11,"TG 2 > 51 306,415,200",TG 2 > 51,,"306,415,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,219
11,"TG 2 > 52 306,415,200",TG 2 > 52,,"306,415,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,220
11,"TG 2 > 53 314,916,000",TG 2 > 53,,"314,916,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,221
11,"TG 2 > 54 320,564,800",TG 2 > 54,,"320,564,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,222
11,"TG 2 > 55 326,250,400",TG 2 > 55,,"326,250,400",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,223
11,"TG 2 > 56 373,060,000",TG 2 > 56,,"373,060,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,224
11,"TG 2 > 57 386,308,000",TG 2 > 57,,"386,308,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,225
11,"TG 2 > 58 399,556,000",TG 2 > 58,,"399,556,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,227
11,"TG 2 > 59 413,264,000",TG 2 > 59,,"413,264,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,228
11,"TG 2 > 60 426,475,200",TG 2 > 60,,"426,475,200",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,229
11,"TG 2 > 65 600,005,600",TG 2 > 65,,"600,005,600",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,230
11,"TG 2 > 66 613,732,000",TG 2 > 66,,"613,732,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,231
11,"TG 2 > 67 638,756,000",TG 2 > 67,,"638,756,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,232
11,"TG 2 > 68 639,712,800",TG 2 > 68,,"639,712,800",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,233
11,"TG 2 > 69 666,190,400",TG 2 > 69,,"666,190,400",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,234
11,"TG 2 > 70 692,686,400",TG 2 > 70,,"692,686,400",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,235
11,"QLR F "" 0-25 51,200,000","QLR F "" 0-25",,"51,200,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,236
11,"QLR F "" 25-50 52,000,000","QLR F "" 25-50",,"52,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,237
11,"QLR F "" 50-75 56,000,000","QLR F "" 50-75",,"56,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,238
11,"QLR F "" 75-100 63,000,000","QLR F "" 75-100",,"63,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,239
11,"QLR F "" 100-125 80,000,000","QLR F "" 100-125",,"80,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,240
11,"QLR F "" 125-150 89,000,000","QLR F "" 125-150",,"89,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,241
11,"QLR F "" 150-175 128,000,000","QLR F "" 150-175",,"128,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,242
11,"QLR F "" 175-200 132,000,000","QLR F "" 175-200",,"132,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,243
11,"QLR F "" 200-225 143,000,000","QLR F "" 200-225",,"143,000,000",rial_unconfirmed,,low,no_manufacturer_sku_column,,true,244
