product_id,site_sku,target_sku,canonical_manufacturer_sku,current_is_available,proposed_is_available,current_base_price,current_is_active,current_image_count,current_deleted_at,target_membership_state,identity_confidence,identity_match_type,authoritative_inventory,authoritative_price_status,media_state,public_fields_state,blocker,reason_for_disable,mutation_scope,price_mutation,active_mutation,snapshot_product_id,snapshot_sku,snapshot_base_price,snapshot_is_available,snapshot_is_active,r1_provenance_kind,r1_rule_id,old_s1_would_disable
1850,1215-392,1215-392,1215-392,true,false,8410000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1850,1215-392,8410000.00,true,true,not_resolved_r1,,true
1851,1215-522,1215-522,1215-522,true,false,18320000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1851,1215-522,18320000.00,true,true,not_resolved_r1,,true
1852,1215-532,1215-532,1215-532,true,false,45240000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1852,1215-532,45240000.00,true,true,not_resolved_r1,,true
1853,1215-622,1215-622,1215-622,true,false,21590000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1853,1215-622,21590000.00,true,true,not_resolved_r1,,true
1854,1215-822,1215-822,1215-822,true,false,45950000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1854,1215-822,45950000.00,true,true,not_resolved_r1,,true
1855,1217-3001,1217-3001,1217-3001,true,false,8920000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1855,1217-3001,8920000.00,true,true,not_resolved_r1,,true
1856,1236-394,1236-394,1236-394,true,false,18790000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1856,1236-394,18790000.00,true,true,not_resolved_r1,,true
1857,1236-524,1236-524,1236-524,true,false,36800000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1857,1236-524,36800000.00,true,true,not_resolved_r1,,true
1858,1250-300,1250-300,1250-300,true,false,16190000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1858,1250-300,16190000.00,true,true,not_resolved_r1,,true
1859,1250-600,1250-600,1250-600,true,false,25430000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1859,1250-600,25430000.00,true,true,not_resolved_r1,,true
1860,1311-150,1311-150,1311-150A,true,false,9180000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1860,1311-150,9180000.00,true,true,individually_proven_batch,INSIZE_AW_WITHOUT_THUMB_ROLLER_DISTINCT_FROM_A,true
1861,1311-200,1311-200,1311-200A,true,false,10380000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,موجود,valid,missing_or_not_ready,not_ready,not_active,Product is not active; cannot remain publicly available under public-sale gate,is_available_only,none,none,1861,1311-200,10380000.00,true,false,rule_derived,INSIZE_AW_WITHOUT_THUMB_ROLLER_DISTINCT_FROM_A,false
1862,1311-300,1311-300,1311-300A,true,false,16260000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,موجود,valid,missing_or_not_ready,not_ready,not_active,Product is not active; cannot remain publicly available under public-sale gate,is_available_only,none,none,1862,1311-300,16260000.00,true,false,rule_derived,INSIZE_AW_WITHOUT_THUMB_ROLLER_DISTINCT_FROM_A,false
1863,1312-150,1312-150,1312-150A,true,false,7050000.00,true,1,,target_member,high,r1_proven_membership_to_manufacturer_existing,نا موجود,valid,ready,not_ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1863,1312-150,7050000.00,true,true,rule_derived,INSIZE_AW_WITHOUT_THUMB_ROLLER_DISTINCT_FROM_A,true
1864,1312-200,1312-200,1312-200A,true,false,9540000.00,false,0,,target_member,high,r1_proven_membership_to_manufacturer_existing,موجود,valid,missing_or_not_ready,not_ready,not_active,Product is not active; cannot remain publicly available under public-sale gate,is_available_only,none,none,1864,1312-200,9540000.00,true,false,individually_proven_batch,INSIZE_AW_WITHOUT_THUMB_ROLLER_DISTINCT_FROM_A,false
1866,1316-500,1316-500,1316-500,true,false,20300000.00,true,1,,target_member,high,exact_target_and_site,نا موجود,valid,ready,ready,authoritative_source_unavailable,Authoritative distributor status is نا موجود (not موجود),is_available_only,none,none,1866,1316-500,20300000.00,true,true,not_resolved_r1,,true
