product_id,sku,current_is_available,proposed_is_available,current_base_price,verified_shopmill_price,inventory_source,inventory_source_match,shopmill_source,shopmill_retrieved_at,shopmill_snapshot_sha256,identity_match,content_safety,primary_image_status,expected_current_hash,availability_class,allowed_future_mutation,base_price_change,is_active_change,price_plan_prerequisite,cohort
1381,4410-1110,false,true,16670000.00,20175000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4410-1110,shopmill:39032,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,43317dd6aaa911a906454dd33f50c61f8537d50dbc4070c519660348e4e371e2,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1382,4410-1115,false,true,18510000.00,22405000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4410-1115,shopmill:39051,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,23d6863dadb452e065206e23c4c10d0de962c5bc8587a2ce8cbf6093e529d7e7,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1383,4410-1120,false,true,22430000.00,27145000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4410-1120,shopmill:39070,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,83f33bc54a2b83fc8799ca8818917703346e6a27361dbfe2da2a8ecf2bba3f03,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1486,4911-8105,false,true,9480000.00,11475000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4911-8105,shopmill:39449,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,3920fef461e67807baa6e56faf4d2af98de7b629294a2c855785d000f5c14a9f,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1487,4911-8115,false,true,12560000.00,15205000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,4911-8115,shopmill:39463,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,738c13144c206c8dcd255a627fa4737c5a18df3df4fcfd173e68cbeeefec170d,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1509,5221-0005,false,true,5680000.00,6873000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,5221-0005,shopmill:34113,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,d017ba28b7d4a482d55304434b6c3a6b7b874fd0a4f11206ebf1fc81dd52f4cc,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1519,5260-1105,false,true,7835000.00,9481000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,5260-1105,shopmill:34091,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,1dcfca7fc67e7c854885101c5eb132369f5f1a856b3e0136ee9bca7141b32fb7,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1522,5260-3705,false,true,9890000.00,11967000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,5260-3705,shopmill:34100,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,13a73d8ccbd5ad20d8e99b92a911b0e403ddd7403a285542153f58f0c1d70690,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1622,6111-1247,false,true,40510000.00,49025000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,6111-1247,shopmill:46304,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,2f0dc0645f91a3a2da4c04b9f7d59692bf45ec5197f8c08bbacb05b7ee2bb7cc,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1680,7121-0025,false,true,13180000.00,15948000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,7121-0025,shopmill:34753,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_SKU,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,3d8d987e05ace99e00f7369642ac5f149f7bc6d6b50971b849823709255ef27c,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
1701,8203-0010,false,true,34965000.00,41215000,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/داسکوا/لیست قیمت داسکوا +10 درصد.pdf,8203-0010,shopmill:45683,2026-09-09T12:24:29Z,7dbeafd9ab421871425d0c1fd66ebbf13ef6188b5edfb9bab8d73ed2a8a64d0f,EXACT_NORMALIZED_SKU:dasqua_trailing_A,SALE_CONTENT_SAFE,PRESENT_AND_ACCEPTABLE,b8c9136f2a5734b2bd2e8f25f852a5985e6ae0a778c4e05b4699f2ade0ce5097,FALSE_TO_TRUE,is_available,false,false,DASQUA_SHOPMILL_PRICE_PLAN_V2,A_IMAGE_PRESENT
