id,sku,normalized_sku,current_brand,current_base_price,proposed_base_price,base_price_change,current_is_available,proposed_is_available,is_available_change,current_is_active,proposed_is_active,is_active_change,image_count,primary_image_url,media_ready,commerce_ready,public_sell_ready,reconciliation_state,source_product,source_price,source_inventory,inventory_status,inclusion_reasons,target_provenance
3581,1240-3001,1240-3001,INSIZE | اینسایز,7410000.00,8850000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3581/3017346b17a228ce.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3611,2112-10,2112-10,INSIZE | اینسایز,8610000.00,10275000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3611/e02eb706ddd183f4.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3612,2112-25,2112-25,INSIZE | اینسایز,14550000.00,17375000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3612/fc497e8631bf7860.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1880,2171-250,2171-250,INSIZE | اینسایز,10260000.00,12250000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1880/39a0a05d2895659c.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1886,2176-300,2176-300,INSIZE | اینسایز,2460000.00,5900000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1886/b9bd02578299ed69.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1887,2179-360,2179-360,INSIZE | اینسایز,11280000.00,13450000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1887/85240162b76e4064.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
1891,2278-180,2278-180,INSIZE | اینسایز,14100000.00,16850000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/1891/2b254f8a3476c449.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3622,2301-10,2301-10,INSIZE | اینسایز,3810000.00,4550000,true,false,true,true,true,true,false,1,https://api.karzartools.com/static/uploads/products/3622/7df1d4d92cd93eae.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3617,2302-25,2302-25,INSIZE | اینسایز,6660000.00,7950000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3617/6ff4ed9cb352666e.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
3619,2309-50,2309-50,INSIZE | اینسایز,19770000.00,23600000,true,true,true,false,true,true,false,1,https://api.karzartools.com/static/uploads/products/3619/0989e3847690575d.jpg,true,true,true,UPDATE,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/لیست محصولات.pdf,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,/home/shebahati/KaZar/Product and Data Complete/اندازه گیری/اینسایز/موجودی توزیع کننده 11 شهریور - Sheet1 باز.xlsx,موجود,brand_insize;target_member;matched_current;not_deleted;exact_distributor_match;status_available;positive_proposed_price;no_review_reason;media_ready;commerce_ready;public_sell_ready;state_UPDATE,6973018c3eeaad81327c31084ff9185ac522573976edc678d4be2bd371d056bf
