sha256_original,output_path,post_detected,post_confidence,remaining_logo_yellow,verification_status,product_count
5cbc4c651ba38475d911d48c315499c922c2a95e3cfbe9a45ca09803adbb2b20,/var/tmp/karzar-shopmill-cleanup/repaired_assets/5cbc4c651ba38475d911d48c315499c922c2a95e3cfbe9a45ca09803adbb2b20.png,False,none,0,clean,2
5d02ece93459d2352d0eda19392be1a7704163ad652061ba1658bb154a9ddfe9,/var/tmp/karzar-shopmill-cleanup/repaired_assets/5d02ece93459d2352d0eda19392be1a7704163ad652061ba1658bb154a9ddfe9.png,False,none,0,clean,1
5f8e2762c1c2b5ea35b16e708f2903e98c318dd487ee8096c37181b141b84ac5,/var/tmp/karzar-shopmill-cleanup/repaired_assets/5f8e2762c1c2b5ea35b16e708f2903e98c318dd487ee8096c37181b141b84ac5.png,False,none,0,clean,1
61970f5b24f944a9b5ab84ffa7f889d30e8a4f8ff49ca86f507950e240c01ec4,/var/tmp/karzar-shopmill-cleanup/repaired_assets/61970f5b24f944a9b5ab84ffa7f889d30e8a4f8ff49ca86f507950e240c01ec4.png,False,none,0,clean,4
61993a133adee23626db6061a0c655ec56d00e602500cb159a48fa87909fb28b,/var/tmp/karzar-shopmill-cleanup/repaired_assets/61993a133adee23626db6061a0c655ec56d00e602500cb159a48fa87909fb28b.png,False,none,0,clean,1
62e4674bae994301afafa0e5d5b68ad7a58b366e60612aa6509399759c35fff5,/var/tmp/karzar-shopmill-cleanup/repaired_assets/62e4674bae994301afafa0e5d5b68ad7a58b366e60612aa6509399759c35fff5.png,False,none,0,clean,1
655c2aa8b1d1c9b286dc7976414de5a3760c704728b08f7a532d93a89bc4e34f,/var/tmp/karzar-shopmill-cleanup/repaired_assets/655c2aa8b1d1c9b286dc7976414de5a3760c704728b08f7a532d93a89bc4e34f.png,False,none,0,clean,2
685768684ba281d2728638101815c6e10a85b87e8eac436a5edf7761402f950a,/var/tmp/karzar-shopmill-cleanup/repaired_assets/685768684ba281d2728638101815c6e10a85b87e8eac436a5edf7761402f950a.jpg,False,none,0,clean,3
6876b1b598984ac3160c5ceb6ca1e4fc05b8a7065cb586c30135b90f9692976a,/var/tmp/karzar-shopmill-cleanup/repaired_assets/6876b1b598984ac3160c5ceb6ca1e4fc05b8a7065cb586c30135b90f9692976a.png,False,none,0,clean,1
6a6171de0f2b575c08e5e1d66834a9c79ea840b65dabede269e6c12838b2b576,/var/tmp/karzar-shopmill-cleanup/repaired_assets/6a6171de0f2b575c08e5e1d66834a9c79ea840b65dabede269e6c12838b2b576.png,False,none,0,clean,1
6a80aaf7edeffba6e511ca90880dc6ff7b48ea664066d9076f3ccedacd34536e,/var/tmp/karzar-shopmill-cleanup/repaired_assets/6a80aaf7edeffba6e511ca90880dc6ff7b48ea664066d9076f3ccedacd34536e.png,False,none,0,clean,6
7196ce677b9d63ebe5b98a5210d66f30bb87f32dca5d1d8306470c4a30d0fe4e,/var/tmp/karzar-shopmill-cleanup/repaired_assets/7196ce677b9d63ebe5b98a5210d66f30bb87f32dca5d1d8306470c4a30d0fe4e.png,False,none,0,clean,5
72bfef1b0f140a5291667426cd2fd1c43d4d0821333820df47a0e7ce33066f03,/var/tmp/karzar-shopmill-cleanup/repaired_assets/72bfef1b0f140a5291667426cd2fd1c43d4d0821333820df47a0e7ce33066f03.png,False,none,0,clean,2
7338918e511946e288b0bbaee8e48c9440cc26cd95ef42b0748f9fdd2f45a8f8,/var/tmp/karzar-shopmill-cleanup/repaired_assets/7338918e511946e288b0bbaee8e48c9440cc26cd95ef42b0748f9fdd2f45a8f8.png,False,none,0,clean,1
7626aa6df3107b9db222a9aba31eba8fcb6e1db649b712db60cc44d29afd37a7,/var/tmp/karzar-shopmill-cleanup/repaired_assets/7626aa6df3107b9db222a9aba31eba8fcb6e1db649b712db60cc44d29afd37a7.png,False,none,0,clean,3
7a781e502e8d2435a75542a598d55e35af08ed83d9a023708c3dc09613b66fcb,/var/tmp/karzar-shopmill-cleanup/repaired_assets/7a781e502e8d2435a75542a598d55e35af08ed83d9a023708c3dc09613b66fcb.png,False,none,0,clean,5
7ac6d500a683eafabb31e96f6a1de7195be210898126be6ada784b6fce11f509,/var/tmp/karzar-shopmill-cleanup/repaired_assets/7ac6d500a683eafabb31e96f6a1de7195be210898126be6ada784b6fce11f509.png,False,none,0,clean,1
7b6aca216062999a9b07b587aeef23cdad755761afb011878a259b9ef5486503,/var/tmp/karzar-shopmill-cleanup/repaired_assets/7b6aca216062999a9b07b587aeef23cdad755761afb011878a259b9ef5486503.png,False,none,0,clean,1
82a2dd6b0518fc42e47860006b9bcbc3045099d9d55b4204203f457b766f8a65,/var/tmp/karzar-shopmill-cleanup/repaired_assets/82a2dd6b0518fc42e47860006b9bcbc3045099d9d55b4204203f457b766f8a65.png,False,none,0,clean,6
837df6139a912e620aed291c816b8b7d40d930f527d3295ffbdab1b8dc91f351,/var/tmp/karzar-shopmill-cleanup/repaired_assets/837df6139a912e620aed291c816b8b7d40d930f527d3295ffbdab1b8dc91f351.png,False,none,0,clean,1
