product_id,sku,product_slug,product_name,brand_name,category_name,product_is_active,product_deleted,product_is_available,image_count
1821,1150-500,1150-500,کولیس دیجیتال اینسایز (Insize) 50 سانتی متر پایه دار مدل 500-1150,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1822,1150-600,1150-600,کولیس دیجیتال اینسایز (Insize) 60 سانتی متر پایه دار مدل 600-1150,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1823,1151-300,1151-300,کولیس پایه دار دو میله دیجیتال اینسایز (Insize) 30 سانت مدل 300-1151,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1825,1156-300,1156-300,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر پایه دار مدل 300-1156,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1826,1156-600,1156-600,کولیس دیجیتال اینسایز (Insize) 60 سانتی متر پایه دار مدل 600-1156,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1827,1161-150,1161-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر داخل سنج فک میله‌ای مدل 150-1161,INSIZE | اینسایز,انواع میکرومتر,True,False,True,1
1828,1169-150,1169-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر فک باریک مدل 150-1169,INSIZE | اینسایز,متر,True,False,True,1
1829,1170-300,1170-300,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر فک بلند مدل 300-1170,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1830,1172-200,1172-200,کولیس دیجیتال اینسایز( Insize) 20 سانتی متر فک پهن مدل 200-1172,INSIZE | اینسایز,متر,True,False,True,1
1831,1176-150,1176-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر شیارسنج مدل 150-1176,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1832,1176-200,1176-200,کولیس دیجیتال اینسایز (Insize) 20 سانتی متر شیارسنج مدل 200-1176,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1833,1178-300,1178-300,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر داخل سنج مدل 300-1178,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1834,1183-150,1183-150,کولیس فک باریک اینسایز (Insize) 15 سانت مدل 150-1183,INSIZE | اینسایز,متر,True,False,True,1
1835,1185-150,1185-150,کولیس خارج شیار اینسایز (Insize) 15 سانت مدل 150-1185,INSIZE | اینسایز,متر,True,False,True,1
1836,1186-150,1186-150,کولیس فک متحرک اینسایز (Insize) 15 سانت مدل 150-1186,INSIZE | اینسایز,متر,True,False,True,1
1839,1187-150,1187-150,کولیس خارج شیار اینسایز (Insize) 15 سانت مدل 150-1187,INSIZE | اینسایز,متر,True,False,True,1
1840,1188-150,1188-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر فک باریک مدل 150-1188,INSIZE | اینسایز,متر,True,False,True,1
1841,1196-300,1196-300,کولیس دیجیتال اینسایز (insize) 30 سانتی متر مدل 300-1196,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1842,1208-511,1208-511,کولیس 50 سانت اینسایز (Insize) یک تکه فک 10 سانت مدل 511-1208,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1843,1208-524,1208-524,کولیس 50 سانت اینسایز (Insize) یک تکه فک 15 سانت مدل 524-1208,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1844,1208-824,1208-824,کولیس 80 سانت اینسایز (Insize) یک تکه فک 15 سانت مدل 824-1208,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1845,1214-500,1214-500,کولیس اینسایز (Insize) 50 سانتی متر مدل 500-1214,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1846,1214-600,1214-600,کولیس اینسایز (Insize) 60 سانتی متر مدل 600-1214,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1847,1215-1032,1215-1032,کولیس اینسایز (Insize) 1 متری فک بلند مدل 1032-1215,INSIZE | اینسایز,متر,True,False,True,1
1848,1215-1052,1215-1052,کولیس ورنیه اینسایز( Insize) 100 سانتی متر فک بلند مدل 1052-1215,INSIZE | اینسایز,متر,True,False,True,1
1849,1215-322,1215-322,کولیس معمولی اینسایز (Insize) 30 سانتی متر فک بلند 15 سانت مدل 322-1215,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1850,1215-392,1215-392,کولیس معمولی اینسایز (Insize) 30 سانتی متر فک بلند 9 سانت مدل 392-1215,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1851,1215-522,1215-522,کولیس معمولی اینسایز (Insize) 50 سانتی متر فک بلند 15 سانت مدل 522-1215,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1852,1215-532,1215-532,کولیس معمولی اینسایز (Insize) 50 سانتی متر فک بلند 20 سانت مدل 532-1215,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1853,1215-622,1215-622,کولیس معمولی اینسایز (Insize) 60 سانتی متر فک بلند 15 سانت مدل 622-1215,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1854,1215-822,1215-822,کولیس معمولی اینسایز (Insize) 80 سانتی متر فک بلند 15 سانت مدل 822-1215,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1855,1217-3001,1217-3001,کولیس اینسایز (Insize) 30 سانتی متر دو فک مدل 3001-1217,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1856,1236-394,1236-394,کولیس معمولی اینسایز (Insize) 30 سانت دو فک فک بلند 9 سانت مدل 394-1236,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1857,1236-524,1236-524,کولیس معمولی اینسایز (Insize) 50 سانت دو فک فک بلند 15سانت مدل 524-1236,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1858,1250-300,1250-300,کولیس پایه دار ساده اینسایز (Insize) 30 سانتی متر مدل 300-1250,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1859,1250-600,1250-600,کولیس معمولی اینسایز (Insize) 60 سانتی متر پایه دار مدل 600-1250,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1860,1311-150,1311-150,کولیس ساعتی اینسایز (Insize) 15 سانتی متر مدل 150-1311,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1863,1312-150,1312-150,کولیس ساعتی اینسایز (Insize) 15 سانتی متر مدل 150-1312,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1866,1316-500,1316-500,کولیس استنلس استیل ساعتی اینسایز (Insize) 60 سانت مدل 500-1316,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1867,1340-150,1340-150,کولیس عمق سنج ساعتی اینسایز( Insize) 150 میلی متر مدل 150-1340,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1868,1340-200,1340-200,کولیس عمق سنج ساعتی اینسایز( Insize ) 200 میلی متر مدل 200-1340,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1869,1340-300,1340-300,کولیس عمق سنج ساعتی اینسایز( Insize ) 300 میلی متر مدل 300-1340,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1870,1520-150,1520-150,کولیس دیجیتال اینسایز (Insize) 15 سانتی متر شیار سنج مدل 150-1520,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1871,1530-300,1530-300,کولیس دیجیتال اینسایز (Insize) 30 سانتی متر داخل و خارج سنج مدل 300-1530,INSIZE | اینسایز,انواع کولیس,True,False,True,1
1873,2112-101,2112-101,ساعت اندیکاتور دیجیتال 12.7 میلی متری اینسایز (Insize) مدل 101-2112,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1874,2112-251,2112-251,ساعت اندیکاتور کورس دیجیتال 25 میلی متری اینسایز (Insize) مدل 251-2112,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1875,2112-501,2112-501,ساعت اندیکاتور دیجیتال کورس اینسایز (Insize) 50 میلیمتر مدل 501-2112,INSIZE | اینسایز,ساعت اندیکاتور,True,False,True,1
1876,2122-160,2122-160,گیج داخل سیلندر اینسایز (Insize) دیجیتال 160-50 میلی متری مدل 160-2122,INSIZE | اینسایز,گیج داخل سیلندر,True,False,True,1
1877,2141-202,2141-202,عمق سنج صلیبی دیجیتال 30 سانتی اینسایز (Insize) مدل 202-2141,INSIZE | اینسایز,عمق سنج,True,False,True,1
1878,2142-101,2142-101,عمق سنج سوزنی دیجیتال اینسایز (Insize) 0-10 میلیمتر مدل 101-2142,INSIZE | اینسایز,عمق سنج,True,False,True,1
1879,2142-102,2142-102,عمق سنج دیجیتال سوزنی اینسایز( INSIZE) مدل 102-2142,INSIZE | اینسایز,عمق سنج,True,False,True,1
1880,2171-250,2171-250,زاویه سنج دیجیتال 25 سانتی اینسایز (Insize) مدل 250-2171,INSIZE | اینسایز,زاویه سنج,True,False,True,1
1881,2172-360,2172-360,زاویه سنج دیجیتال اینسایز (Insize) مدل 360-2172,INSIZE | اینسایز,زاویه سنج,True,False,True,1
