id,sku,catalog_code,confidence,match_rule,name,range,accuracy,resolution,series,pdf_page
3580,1240-2001,1240-2001,very_high,exact_code,کولیس معمولی اینسایز (Insize) 20 سانتی متر عمق سنج استن استیل مدل 2001-1240,0-200mm,±0.03mm,0.05mm,VERNIER DEPTH GAUGES (STANDARD TYPE),98
3578,1240-1501,1240-1501,very_high,exact_code,کولیس معمولی اینسایز (Insize) 15 سانتی متر عمق سنج استن استیل مدل 1501-1240,0-150mm,±0.03mm,0.05mm,VERNIER DEPTH GAUGES (STANDARD TYPE),98
3577,7110-2000,7110-2000,very_high,exact_code,خط کش فلزی 2 متری اینسایز (Insize) مدل 2000-7110,"2000mm/80""",±1.00mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
3576,7110-1500,7110-1500,very_high,exact_code,خط کش فلزی 1.5 متری اینسایز (Insize) مدل 1500-7110,"1500mm/60""",±1.00mm,"0.5mm, 1mm",FLEXIBLE RULERS,537
3571,4621-90,4621-90,very_high,exact_code,فیلر نواری 5 متری 0.90mm اینسایز (Insize) مدل 90-4621,0.90mm,±22µm,,FEELER GAUGE STOCKS,509
3570,4621-80,4621-80,very_high,exact_code,فیلر نواری 5 متری 0.80mm اینسایز (Insize) مدل 80-4621,0.80mm,±19µm,,FEELER GAUGE STOCKS,509
3569,4621-70,4621-70,very_high,exact_code,فیلر نواری 5 متری 0.70mm اینسایز (Insize) مدل 70-4621,0.70mm,±17µm,,FEELER GAUGE STOCKS,509
3568,4621-50,4621-50,very_high,exact_code,فیلر نواری 5 متری 0.50mm اینسایز (Insize) مدل 50-4621,0.50mm,±14µm,,FEELER GAUGE STOCKS,509
3567,4621-40,4621-40,very_high,exact_code,فیلر نواری 5 متری 0.40mm اینسایز (Insize) مدل 40-4621,0.40mm,±12µm,,FEELER GAUGE STOCKS,509
3566,4621-30,4621-30,very_high,exact_code,فیلر نواری 5 متری 0.30mm اینسایز (Insize) مدل 30-4621,0.30mm,±9µm,,FEELER GAUGE STOCKS,509
3565,4621-25,4621-25,very_high,exact_code,فیلر نواری 5 متری 0.25mm اینسایز (Insize) مدل 25-4621,0.25mm,±9µm,,FEELER GAUGE STOCKS,509
3564,4621-20,4621-20,very_high,exact_code,فیلر نواری 5 متری 0.20mm اینسایز (Insize) مدل 20-4621,0.20mm,±8µm,,FEELER GAUGE STOCKS,509
3563,4621-15,4621-15,very_high,exact_code,فیلر نواری 5 متری 0.15mm اینسایز (Insize) مدل 15-4621,0.15mm,±6µm,,FEELER GAUGE STOCKS,509
3562,4621-10,4621-10,very_high,exact_code,فیلر نواری 5 متری 0.10mm اینسایز (Insize) مدل 10-4621,0.10mm,±5µm,,FEELER GAUGE STOCKS,509
3561,4621-09,4621-09,very_high,exact_code,فیلر نواری 5 متری 0.09mm اینسایز (Insize) مدل 09-4621,0.09mm,±5µm,,FEELER GAUGE STOCKS,509
3560,3203-75,3203-75A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 75-50 میلی متر خارج سنج مدل 75-3203,50-75mm,±2μm,metric 0.01mm,OUTSIDE MICROMETERS,157
3559,3203-50,3203-50A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 50-25 میلی متر خارج سنج مدل 50-3203,25-50mm,±2μm,metric 0.01mm,OUTSIDE MICROMETERS,157
3558,4621-08,4621-08,very_high,exact_code,فیلر نواری 5 متری 0.08mm اینسایز (Insize) مدل 08-4621,0.08mm,±5µm,,FEELER GAUGE STOCKS,509
3557,4621-07,4621-07,very_high,exact_code,فیلر نواری 5 متری 0.07mm اینسایز (Insize) مدل 07-4621,0.07mm,±5µm,,FEELER GAUGE STOCKS,509
3556,3203-25,3203-25A,very_high,unique_letter_suffix,میکرومتر اینسایز (Insize) 25-0 میلی متر خارج سنج 0.01 مدل 25-3203,0-25mm,±2μm,metric 0.01mm,OUTSIDE MICROMETERS,157
3555,4621-06,4621-06,very_high,exact_code,فیلر نواری 5 متری 0.06mm اینسایز (Insize) مدل 06-4621,0.06mm,±4µm,,FEELER GAUGE STOCKS,509
3554,4621-05,4621-05,very_high,exact_code,فیلر نواری 5 متری 0.05mm اینسایز (Insize) مدل 05-4621,0.05mm,±4µm,,FEELER GAUGE STOCKS,509
3553,4621-04,4621-04,very_high,exact_code,فیلر نواری 5 متری 0.04mm اینسایز (insize) مدل 04-4621,0.04mm,±4µm,,FEELER GAUGE STOCKS,509
