product_id,sku,brand,category,active_block,availability_block,price_block,image_block,other_block,block_count
2530,551,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2531,553,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2532,555,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2533,557,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2534,559,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2535,561,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2536,563,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2537,IP54-2,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2538,567,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2539,569,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2540,571,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2541,576,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2542,578,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2543,581,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2544,583,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2545,585,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2546,588,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2547,590,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2548,592,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2549,594,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2550,596,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2551,598,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2552,600,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2553,602,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2554,604,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2555,606,ASIMETO | آسیمتو,ساعت شیطانکی,True,True,True,True,False,4
2556,608,ASIMETO | آسیمتو,ساعت اندیکاتور,True,True,True,True,False,4
2557,610,ASIMETO | آسیمتو,گیج داخل سیلندر,True,True,True,True,False,4
2558,612,ASIMETO | آسیمتو,گیج داخل سیلندر,True,True,True,True,False,4
2559,614,ASIMETO | آسیمتو,گیج داخل سیلندر,True,True,True,True,False,4
2560,616,ASIMETO | آسیمتو,گیج داخل سیلندر,True,True,True,True,False,4
2561,618,ASIMETO | آسیمتو,تراز صنعتی,True,True,True,True,False,4
2562,620,ASIMETO | آسیمتو,تراز صنعتی,True,True,True,True,False,4
2563,622,ASIMETO | آسیمتو,تراز صنعتی,True,True,True,True,False,4
2564,624,ASIMETO | آسیمتو,تراز صنعتی,True,True,True,True,False,4
2565,628,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2566,630,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2567,632,ASIMETO | آسیمتو,انواع کولیس,True,True,True,True,False,4
2568,634,ASIMETO | آسیمتو,صفحه صافی گرانیتی,True,True,True,True,False,4
2569,636,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2570,638,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2571,640,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2572,642,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2573,644,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2574,646,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2575,648,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2576,650,ASIMETO | آسیمتو,زاویه سنج,True,True,True,True,False,4
2577,652,ASIMETO | آسیمتو,گونیا,True,True,True,True,False,4
2578,654,ASIMETO | آسیمتو,گونیا,True,True,True,True,False,4
2579,656,ASIMETO | آسیمتو,گونیا,True,True,True,True,False,4
2580,658,ASIMETO | آسیمتو,گونیا,True,True,True,True,False,4
2581,660,ASIMETO | آسیمتو,شابلون,True,True,True,True,False,4
2582,662,ASIMETO | آسیمتو,شابلون,True,True,True,True,False,4
2583,664,ASIMETO | آسیمتو,شابلون,True,True,True,True,False,4
2584,666,ASIMETO | آسیمتو,شابلون,True,True,True,True,False,4
2585,671,ASIMETO | آسیمتو,پرگار صنعتی,True,True,True,True,False,4
