product_id,sku,name,brand_id,brand,category_id,category,is_active,is_available,stock_quantity,base_price,original_price,is_priced,image_count,has_real_image,media_materialized,api_visible,storefront_visible,sellable,purchase_eligible,legacy_spec_present,legacy_spec_key_count,product_type_id,product_type,kb_fact_count,kb_asserted_count,kb_unresolved_count,kb_conflict_count,kb_evidence_backed_count,required_definition_count,required_fact_present_count,required_fact_evidenced_count,required_fact_missing_count,technical_maturity_bucket,description_present,short_description_present,commercial_blockers,technical_blockers,deleted_at
2936,2388,گردبر دریل مگنت ریل آهن 3keego تایوان,35,3Keego | کیگو,123,دستگاه دریل مگنت,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2937,2390,پین گردبر دریل مگنت 3keego تایوان,35,3Keego | کیگو,123,دستگاه دریل مگنت,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2938,2392,پین گردبر دریل مگنت ASTPower,13,ASTPOWER | ای اس تی پاور,123,دستگاه دریل مگنت,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2939,2394,رابط مرس نگهدارنده اتوماتیک گردبر مگنت آب صابون خور ASTPOWER,13,ASTPOWER | ای اس تی پاور,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2940,2396,رابط افزایش طول گردبر ASTPower,13,ASTPOWER | ای اس تی پاور,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2941,2398,رابط تبدیل دنباله گردبر دریل مگنت ASTPower,13,ASTPOWER | ای اس تی پاور,123,دستگاه دریل مگنت,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2942,2400,رابط مرس نگهدارنده گردبر مگنت آب صابون خور ASTPOWER,13,ASTPOWER | ای اس تی پاور,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2943,2402,گردبر گرانیت سر سگمنت,,[NO BRAND],43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2944,2403,گردبر بتن چینی,,[NO BRAND],43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2945,2404,رابط گردبر بتن چینی,,[NO BRAND],43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2946,2405,گردبر شیشه ( گردبر سرامیک ) چینی,,[NO BRAND],43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2947,2406,گردبر آهن چینی,,[NO BRAND],43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2948,2407,جعبه گردبر آهن چینی,,[NO BRAND],43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2949,2408,رابط گردبر سرالماس مخصوص سنگ و بتن کیگو تایوان,35,3Keego | کیگو,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2950,2410,مته سر الماس مخصوص گردبر سر الماس مخصوص سنگ و بتن کیگو تایوان,35,3Keego | کیگو,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2951,2412,گردبر سرالماس HM کیگو تایوان,35,3Keego | کیگو,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2952,2414,گردبر دریل مگنت 3Kegoo تایوان,35,3Keego | کیگو,123,دستگاه دریل مگنت,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2953,2416,گردبر سر الماس مخصوص استیل کیگو تایوان,35,3Keego | کیگو,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
2954,2419,گردبر استیل سر الماس astpower,13,ASTPOWER | ای اس تی پاور,43,مته پشت گرد HSS,False,False,0.00,,,False,0,False,False,False,False,False,False,True,5,,,0,0,0,0,0,0,0,0,0,T1_LEGACY_ONLY,False,False,activation|availability|price|image,no_authoritative_kb,
